Date,Valeur Liquidative,Performances glissantes Depuis Début d'année,Performances glissantes 1 semaine,Performances glissantes 6 mois,Performances glissantes 1 an,Performances glissantes 2 ans,Performances glissantes 3 ans,Performances glissantes 5 ans,Variation %,weekly_mean,rendement_lag_1,rendement_lag_2,rendement_lag_3,rendement_lag_4,returns,garch_vol,garch_vol_lag_1,garch_vol_lag_2,vol_future_2w
2022-12-09,546.24,6.93,0.72,4.51,6.86,2.05,3.47,11.38,2.771066468627237,11253.439999999999,0.47,0.54,1.11,0.4,0.0072,0.005853736835353953,0.005929552896933687,0.006126473434817124,0.005458937625582473
2022-12-16,542.21,7.61,0.74,3.73,7.37,0.22,1.78,10.56,-0.203493331816762,11230.539999999999,0.72,0.47,0.54,1.11,0.0074,0.0058444788416350275,0.005853736835353953,0.005929552896933687,0.04033509638019971
2022-12-23,541.01,7.82,0.22,4.07,7.46,0.5,1.39,10.86,-2.341276554822813,10967.602,0.74,0.72,0.47,0.54,0.0022,0.005847096358417251,0.0058444788416350275,0.005853736835353953,0.040385393399099134
2023-01-06,505.64,5.7,5.7,9.52,14.1,6.31,5.79,2.77,-5.417837797762126,10307.844000000001,0.22,0.74,0.72,0.47,0.057,0.005905825368841825,0.005847096358417251,0.0058444788416350275,0.0040749233121618374
2023-01-20,512.96,4.34,0.36,8.93,13.36,6.14,5.85,3.19,2.5825556812158146,10329.076000000001,5.7,0.22,0.74,0.72,0.0036,0.017315284308749776,0.005905825368841825,0.005847096358417251,0.008666314095392574
2023-01-27,510.65,4.77,0.45,9.14,13.61,6.74,5.92,2.49,-1.266579895433051,10198.25,0.36,5.7,0.22,0.74,0.0045000000000000005,0.011849742336985512,0.017315284308749776,0.005905825368841825,0.012067518386147169
2023-02-03,516.48,3.68,1.14,8.57,12.89,6.29,3.08,3.32,0.5787855759566751,10257.276000000002,0.45,0.36,5.7,0.22,0.011399999999999999,0.008740881463638356,0.011849742336985512,0.017315284308749776,0.009013878188659973
2023-02-10,523.04,2.46,1.27,8.17,11.87,4.89,2.54,4.86,3.1135946814728976,10576.645999999999,1.14,0.45,0.36,5.7,0.0127,0.007365123132707616,0.008740881463638356,0.011849742336985512,0.003758324094593227
2023-02-17,522.44,2.57,0.11,8.24,11.39,4.78,3.32,4.55,0.21937011033557052,10599.848000000002,1.27,1.14,0.45,0.36,0.0011,0.006862751982999443,0.007365123132707616,0.008740881463638356,0.004432268042436062
2023-02-24,525.17,2.06,0.52,7.57,9.44,3.7,1.86,4.94,0.7369539638681477,10677.964,0.11,1.27,1.14,0.45,0.0052,0.0063936474496535,0.006862751982999443,0.007365123132707616,0.003920459156782532
